,rozdiel,podiel,FAO,modif,R,b,ax,alt
11800,0.018485915,0.935627572,2.734160229,2.554714013,0.91115966,0.305606561,0.881465441,180
11801,-0.063753732,0.940407017,2.644753068,2.605741857,0.932330338,0.209362044,0.944944459,206
11806,0.024078973,0.95701302,2.627197667,2.43980204,0.887725308,0.284357789,0.882598571,349
11810,0.059842263,0.993132051,2.696202064,2.534021126,0.931414345,0.195016054,0.905475068,182
11813,0.205047741,1.057156956,2.74893316,2.466352642,0.933118689,0.171547893,0.863002986,287
11816,0.055587424,0.994225449,2.724154175,2.575667632,0.924234791,0.213359215,0.901273341,133
11818,-0.053082212,0.92835471,2.767776726,2.65119055,0.924134587,0.272968402,0.920554939,113
11819,0.030843854,-2.11851E+11,2.668174692,2.550921587,0.922232646,0.175330252,0.922728408,176
11820,-0.11339042,0.900857441,2.734310471,2.689443919,0.925859075,0.304987194,0.929928669,111
11826,-0.013692046,0.952329996,2.668161245,2.567503641,0.925295447,0.223818365,0.921246769,163
11833,0.268434937,1.088630846,2.626024131,2.245442725,0.902511273,0.194503019,0.823711462,533
11841,-0.13363963,0.900363902,2.428037739,2.463025431,0.917740521,0.228105,0.961093945,309
11846,-0.080618363,0.912331813,2.713437702,2.609496058,0.918033005,0.265851631,0.931734837,188
11850,-0.128444954,0.923495063,2.742784464,2.655060668,0.92007252,0.231568089,0.962402027,145
11855,0.019880857,0.96884608,2.762202565,2.635348039,0.923163627,0.234912589,0.907757147,135
11856,0.035977944,0.970768107,2.714799596,2.549514292,0.896242598,0.274758636,0.885539772,261
11858,-0.070757448,0.931471713,2.732359551,2.687551036,0.928336151,0.267806452,0.927883209,115
11867,-0.092076318,0.905344439,2.54646693,2.559990125,0.92246984,0.260318803,0.933931015,260
11868,0.000537721,inf,2.38304699,2.196389927,0.912467417,0.16302594,0.931363644,780
11874,-0.092632739,0.894516214,2.378685054,2.373130432,0.908235287,0.203220069,0.953509049,640
11879,0.182997996,1.038528075,2.501097506,2.210026375,0.915807105,0.170944941,0.858484951,758
