,0
1980,21.3
1981,20.400000000000002
1982,20.700000000000003
1983,19.700000000000003
1984,20.200000000000003
1985,20.700000000000003
1986,19.6
1987,20.900000000000002
1988,19.900000000000002
1989,19.1
1990,19.5
1991,20.200000000000003
1992,19.6
1993,20.0
1994,19.6
1995,20.5
1996,21.3
1997,20.900000000000002
1998,20.3
1999,20.5
2000,20.200000000000003
2001,20.3
2002,19.8
2003,20.3
2004,20.400000000000002
2005,20.8
2006,20.3
2007,19.8
2008,20.1
2009,20.1
2010,20.5
2011,20.0
2012,18.8
2013,19.8
2014,18.7
2015,18.900000000000002
2016,19.3
2017,19.0
2018,17.7
2019,18.3
2020,19.1
