,0
1980,0.385
1981,0.375
1982,0.375
1983,0.365
1984,0.37
1985,0.375
1986,0.365
1987,0.38
1988,0.365
1989,0.36
1990,0.365
1991,0.37
1992,0.365
1993,0.37
1994,0.365
1995,0.375
1996,0.385
1997,0.38
1998,0.375
1999,0.375
2000,0.375
2001,0.375
2002,0.37
2003,0.375
2004,0.375
2005,0.38
2006,0.375
2007,0.37
2008,0.375
2009,0.375
2010,0.38
2011,0.37
2012,0.36
2013,0.37
2014,0.36
2015,0.355
2016,0.365
2017,0.36
2018,0.34500000000000003
2019,0.35000000000000003
2020,0.36
